"Country","Happiness_Rank","Happiness_Score","Adolescent fertility rate (births per 1,000 women ages 15-19)","Average precipitation in depth (mm per year)","Business extent of disclosure index (0=less to 10=more)","Cost of business start-up procedures (% of GNI per capita)","Cost to export (US$ per container)","DEC alternative conversion factor (LCU per US$)","Depth of credit information index (0=low to 8=high)","Diabetes prevalence (% of pop. ages 20 to 79)","Documents to export (number)","Documents to import (number)","Ease of doing business index (1=most business-friendly regulations)","Fixed telephone subscriptions","Fixed telephone subscriptions (per 100 people)","Immunization, measles (% of children ages 12-23 months)","Improved sanitation facilities (% of pop.)","Improved water source (% of pop.)","Improved water source, urban (% of urban pop.)","Incidence of tuberculosis (per 100,000 people)","Internet users (per 100 people)","Labor force particip. rate for ages 15-24, female (%)","Labor force particip. rate for ages 15-24, male (%)","Labor force particip. rate, male (% of male pop. ages 15-64)","Labor force particip. rate, male (% of male pop. ages 15+)","Labor force particip. rate, total (% of ttl. pop. ages 15-64)","Labor force particip. rate, total (% of ttl. pop. ages 15+)","Lifetime risk of maternal death (%)","Lifetime risk of maternal death (1 in: rate varies by country)","Merchandies imports by economy, residual (%of ttl.)","Merchandise exports by economy (current US$)","Merchandise exports by economy, residual (% of ttl.)","Merchandise imports by economy (current US$)","Merchandise imports from high-income economies (%of ttl.)","Mobile cellular subscriptions (per 100 people)","Mortality rate, infant (per 1,000 live births)","Number of infant deaths","Number of maternal deaths","Official entrance age to lower secondary education (years)","Official entrance age to primary education (years)","Population ages 65 and above (% of ttl.)","Population density (people per sq. km of land area)","Population growth (annual %)","Population, ages 0-14 (% of ttl.)","Population, ages 15-64 (% of ttl.)","Population, female (% of ttl.)","Private credit bureau coverage (% of adults)","Procedures to build a warehouse (number)","Procedures to register property (number)","Public credit registry coverage (% of adults)","Pump price for gasoline (US$ per liter)","Ratio of female to male labor force particip. rate (%)","Refugee pop. by country or territory of asylum","Refugee pop. by country or territory of origin","Rural pop.","Rural pop. growth (annual %)","Secure Internet servers","Secure Internet servers (per 1 million people)","Start-up procedures to register a business (number)","Strength of legal rights index (0=weak to 12=strong)","Surface area (sq. km)","Tax payments (number)","Theoretical duration of primary education (years)","Theoretical duration of secondary education (years)","Time required to build a warehouse (days)","Time required to enforce a contract (days)","Time required to get electricity (days)","Time required to register property (days)","Time required to start a business (days)","Time to export (days)","Time to prepare and pay taxes (hours)","Total tax rate (% of commercial profits)","Unemp., female (% of female labor force)","Unemp., male (% of male labor force)","Urban pop.","Urban pop. growth (annual %)"
"Afghanistan",153,3.575,76.7336,327,1,15.1,5045,57.4311,0,8.07,10,10,175,101931,0.325860971995413,66,31.8,55.2,78.2,189,6.39,13.3999996185303,60.7999992370605,80.8000030517578,79.3000030517578,48.9000015258789,47.7999992370605,2.15319131812495,46,7.10705255577188e-09,658401430.6,-1.55927638952624e-08,8039346601,33.7235128608378,74.8828424132874,68.1,69579,4600,13,7,2.43468454325801,48.4445455380939,3.03347255254667,44.8709961512615,52.6943193054805,48.4580889811546,0,11,9,0,1.07,20.0504401092553,280267,2593368,23315165,2.4774933646149,32,1.0117775331384,3,9,652860,20,6,6,353,1642,114,250,7,86,275,36.3,14,8.19999980926514,8312341,4.60963006738531
"Albania",95,4.959,21.4896,1485,7,10.1,745,105.4792,6,2.57,7,8,62,247070,7.75629408180352,98,93.2,95.1,94.9,19,60.1,30.8999996185303,42.2999992370605,74.1999969482422,65.599998474121,63,55.0999984741211,0.0528783697299301,1900,1.14299997420225,2329404376,7.81566797166101,5222514027,70.598928936403,105.469965746985,12.9,561,11,11,6,12.0622519618116,105.637773722628,-0.0998300968586222,18.9304268021744,69.007321236014,50.2597523044106,0,19,6,16.7,1.76,68.2926833523234,104,10140,1261731,-2.42623908809272,69,23.838519938849,6,7,28750,34,5,7,228,525,177,22,5.5,19,357,31.4,14.8000001907349,16.8999996185303,1632744,1.73576171248059
"Algeria",68,5.605,10.7914,89,4,11,1270,80.579,0,7.29,8,9,161,3092558,7.74515290874062,95,87.4,84,84.9,78,18.09,9.80000019073486,47.4000015258789,76.5,72.5,46.7999992370605,44.2000007629395,0.430674101847726,230,0.0627828974295664,53308652466,-1.82810892515735e-09,60294770575,71.2287043387535,93.3107502183817,22,21375,1300,11,6,5.80344587376273,16.3470126882027,1.94039918384128,28.2059094679775,65.9906446582597,49.6776392784836,0,18,10,2,0.27,21.2413787841797,94128,3523,11630075,-0.110668893745777,77,1.97768889535904,13,2,2381740,27,5,7,205,630,180,55,22,17,385,72.7,16.7999992370605,8,27304259,2.82697811328839
"Angola",137,4.033,166.6028,1010,4,118.8,2060,98.643,0,2.61,10,9,183,281327,1.27083020794668,85,51.1,48.6,75.4,370,21.26,49.9000015258789,55.7000007629395,77.8000030517578,76.8000030517578,71.099998474121,70,3.23117354674841,31,0.000556037994594343,58738519217,7.0473584022924e-10,27797618622,57.5653153199531,63.4792082001473,98.8,105154,5400,12,6,2.30859331725355,19.4333231731772,3.26955240572046,47.8503168544999,49.8410898282466,50.3928218170375,0,10,7,1.8,0.76,82.6822883811677,15474,9507,13743305,1.89693163168055,110,4.54029062152616,8,1,1246700,30,6,6,203,1296,145,190,66,40,282,52,7.30000019073486,6.40000009536743,10484219,5.09787908903412
"Argentina",30,6.574,63.8512,591,7,15.1,1770,8.2314,8,5.65,6,8,117,9439138,22.5799817597369,95,96.1,98.9,98.9,24,64.7,31.3999996185303,50.5,81.9000015258789,75.099998474121,68.5,60.9000015258789,0.130655156412624,770,1.08239684621481,69588619445,2.59808954063134,66464610193,49.3045755683129,158.735761979517,11.5,8723,400,12,6,10.8089836893072,15.7051131110941,1.03305555285726,25.3464271985317,63.8445891121611,51.0732566797424,100,21,7,41.2,1.52,63.382156379835,3498,318,3608603,-0.761131311665493,2266,52.7221644770527,14,2,2780400,9,6,6,341,590,92,51.5,25,12,405,137.4,9.80000019073486,7.09999990463257,39371423,1.19912436653272
"Armenia",127,4.35,23.5084,562,5,1,1885,415.9198,8,2.58,5,8,38,564476,18.9168194263386,97,89.5,100,100,45,46.3,30.6000003814697,42.4000015258789,76.4000015258789,73.099998474121,67.8000030517578,63.7999992370605,0.044836440084129,2200,0.161421485627518,1519286858,1.19063710087065,4401599931,63.5413897865222,115.923210198426,13.2,556,10,10,6,10.5795977185467,105.590235335441,0.465529171376968,18.6636812352261,70.7567210462272,52.7845213518669,65.8,20,3,23.5,1.3,74.5554051130304,3190,11850,1117929,0.904854254548831,123,40.9160675068543,2,5,29740,10,4,7,84,570,180,7,3,16,313,20.1,18.7999992370605,15.8000001907349,1888225,0.206332222369208
"Australia",10,7.284,14.405,534,8,0.7,1200,1.0893,7,4.08,5,7,12,9190000,38.8909618039549,93,100,100,100,6.4,84.56,67.099998474121,68.6999969482422,82.8000030517578,71.6999969482422,76.6999969482422,65.099998474121,0.0118280613597937,8500,3.17288290074919,2.40639e+11,3.0095321821895,2.50538e+11,55.7082047317241,131.230546848819,3.2,954,19,12,5,14.7242740805711,3.05777384377075,1.56543128326783,18.711620303024,66.5641056164049,50.0216130035818,100,10,5,0,1.23,81.8689027355371,35582,25,2516093,0.303708660620334,31679,1348.57417834843,3,11,7741220,11,7,6,112,395,75,4.5,2.5,9,105,47.4,5.90000009536743,6,20974643,1.71786099675953
"Austria",13,7.2,7.379,1110,5,0.3,1150,0.753730736717402,7,6.29,3,4,20,3266700,38.3126394414356,76,100,100,100,7.8,81,55.7000007629395,64.8000030517578,81.5,67.6999969482422,76,61,0.00546681616259022,18300,0.00622279786960842,1.71076e+11,0.076298604129159,1.79122e+11,87.6519298020344,151.911251474679,3,244,3,10,6,18.5971306984829,103.409530964123,0.647909059253162,14.2792414531269,67.1236278483902,50.9550170507728,53.2,11,3,2,1.6,80.7976414013114,55598,10,2908640,0.54524303461327,10819,1267.67943540166,8,5,83879,12,4,8,223,397,23,20.5,22,10,166,51.7,5,4.90000009536743,5625852,0.701030117301697
"Azerbaijan",80,5.212,58.5604,447,7,3.1,3460,0.7843,6,2.56,9,11,63,1795448,18.8698825324988,98,87.9,86.2,94.3,77,61,42.0999984741211,28.6000003814697,74.099998474121,70.3000030517578,71.1999969482422,66.599998474121,0.0644051715724466,1600,0.0549968997373941,21828608900,0.300582141081835,9187608800,61.6195837593782,110.905363353238,28.9,6706,50,10,6,5.56231871987924,115.387592397682,1.2769828044979,22.0364351040663,72.4012461760545,50.246199834908,0,24,3,28.7,1.21,89.758173164892,1299,10521,4353539,0.719863327512507,129,13.5250989665042,3,2,86600,7,4,7,175,277,87,8.5,5,27,195,39.8,6.09999990463257,4.30000019073486,5184284,1.74723742614178
"Bangladesh",109,4.694,83.49,2666,6,16.8,1281,77.72,0,6.89,6,9,172,1086468,0.685414412245035,89,59.6,86.2,86.3,227,9.6,50.5999984741211,66.1999969482422,86.599998474121,84,73.599998474121,70.9000015258789,0.458409570658519,220,8.1252354457943,28433794794,17.0039569437578,41635060882,37.6432410460084,75.924891634777,32.1,101722,5900,11,6,4.95581421366577,1222.07507874318,1.21437738484915,29.9764096764575,65.0677761098767,49.5078603598737,0,13.4,8,0.9,1.3,68.5714267549061,32472,10865,105761094,0.0732683236553304,136,0.854929131309716,9,6,148460,21,5,7,269,1442,428.9,244,19.5,28.3,302,32.5,5,3.90000009536743,53316419,3.51721498276979
